Name Chr Start End EXcortical_polydT_0 EXcortical_randomhexamer_0 INHmidbrain_polydT_0 INHmidbrain_randomhexamer_0
chr3:80596410-80596413 chr3 80596410 80596413 2.59805564867583 0.0 0.0 0.0
chr3:80596410-80596414 chr3 80596410 80596414 0.0 4.6932618169627895 2.1638330757341575 0.0
chr3:80596410-80596425 chr3 80596410 80596425 0.0 0.0 0.0 5.873261205564142
chr3:80596413-80596434 chr3 80596413 80596434 2.5142474019443513 0.0 0.0 0.0
chr3:80596414-80596415 chr3 80596414 80596415 0.0 4.441837076768354 1.8547140649149922 0.0
chr3:80596415-80596421 chr3 80596415 80596421 0.0 4.358028830036876 0.0 0.0
chr3:80596415-80596431 chr3 80596415 80596431 0.0 0.0 2.1638330757341575 0.0
chr3:80596421-80596423 chr3 80596421 80596423 0.0 4.2742205833053974 0.0 0.0
chr3:80596423-80596424 chr3 80596423 80596424 0.0 4.190412336573919 0.0 0.0
chr3:80596424-80596425 chr3 80596424 80596425 0.0 4.106604089842441 0.0 0.0
chr3:80596425-80596430 chr3 80596425 80596430 0.0 4.190412336573919 0.0 0.0
chr3:80596425-80596434 chr3 80596425 80596434 0.0 0.0 0.0 5.564142194744977
chr3:80596430-80596432 chr3 80596430 80596432 0.0 4.022795843110963 0.0 0.0
chr3:80596431-80596458 chr3 80596431 80596458 0.0 0.0 1.8547140649149922 0.0
chr3:80596432-80596435 chr3 80596432 80596435 0.0 3.938987596379484 0.0 0.0
chr3:80596434-80596437 chr3 80596434 80596437 0.0 0.0 0.0 5.255023183925811
chr3:80596434-80596441 chr3 80596434 80596441 2.430439155212873 0.0 0.0 0.0
chr3:80596435-80596436 chr3 80596435 80596436 0.0 3.8551793496480053 0.0 0.0
chr3:80596436-80596441 chr3 80596436 80596441 0.0 3.938987596379484 0.0 0.0
chr3:80596437-80596450 chr3 80596437 80596450 0.0 0.0 0.0 4.636785162287481
chr3:80596441-80596445 chr3 80596441 80596445 0.0 3.771371102916527 0.0 0.0
chr3:80596441-80596458 chr3 80596441 80596458 2.3466309084813948 0.0 0.0 0.0
chr3:80596445-80596447 chr3 80596445 80596447 0.0 3.687562856185049 0.0 0.0
chr3:80596447-80596451 chr3 80596447 80596451 0.0 3.60375460945357 0.0 0.0
chr3:80596450-80596458 chr3 80596450 80596458 0.0 0.0 0.0 4.327666151468315
chr3:80596451-80596453 chr3 80596451 80596453 0.0 3.519946362722092 0.0 0.0
chr3:80596453-80596458 chr3 80596453 80596458 0.0 3.2685216225276568 0.0 0.0
